title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Anatomy of Hell,N/A,N/A,"$45,000",Tartan,"September 24, 2004",Foreign,1 hrs. 20 min.,Unrated,N/A,"$34,506",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anchor Baby,Lonzo Nzekwe,N/A,"$16,100",Alpha Galore,"July 8, 2011",Drama / Thriller,1 hrs. 35 min.,Unrated,N/A,"$176,632",N/A,N/A,N/A,N/A,N/A,N/A,Lonzo Nzekwe,N/A,N/A,N/A,N/A,N/A,Lonzo Nzekwe,N/A,N/A,N/A
Anchorman 2 (R-Rated Extended Cut),N/A,N/A,"$2,228,200",Paramount,"February 28, 2014",Comedy,2 hrs. 23 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anchorman 2:<br/>The Legend Continues,Adam McKay,N/A,"$124,658,000",Paramount,"December 18, 2013",Comedy,1 hrs. 59 min.,PG-13,$50 million,"$173,649,015",Will Ferrell,Paul Rudd,Steve Carell,Kristen Wiig,Christina Applegate,James Marsden,Judd Apatow,Will Ferrell,Adam McKay,N/A,N/A,N/A,Will Ferrell,Adam McKay,N/A,N/A
Anchorman:<br/>The Legend of Ron Burgundy,Adam McKay,N/A,"$111,520,300",DreamWorks,"July 9, 2004",Comedy,1 hrs. 31 min.,PG-13,$26 million,"$90,574,188",Will Ferrell,Christina Applegate,Paul Rudd,Steve Carell,Vince Vaughn*,Tim Robbins*,Judd Apatow,Shauna Robertson,David O. Russell,N/A,N/A,N/A,Adam McKay,N/A,Alex Wurman,N/A
And Everything is Going Fine,Steven Soderbergh,N/A,"$22,400",IFC,"December 10, 2010",Documentary,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And God Created Woman,N/A,N/A,"$1,417,300",Vestron,"March 4, 1988",Unknown,1 hrs. 40 min.,R,N/A,N/A,Frank Langella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And God Spoke,N/A,N/A,"$113,600",Artisan,"September 23, 1994",Unknown,1 hrs. 22 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And Now Ladies and Gentlemen,N/A,N/A,"$992,300",Paramount Classics,"August 1, 2003",Romance,2 hrs. 6 min.,PG-13,N/A,"$736,872",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And So It Goes,Rob Reiner,N/A,"$15,235,900",Clarius Entertainment,"July 25, 2014",Comedy / Drama,1 hrs. 34 min.,PG-13,N/A,"$25,312,387",Michael Douglas,Diane Keaton,N/A,N/A,N/A,N/A,Rob Reiner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marc Shaiman,N/A
